75.04	76.58	transformation—how
76.58	76.76	the
76.76	76.98	words
76.98	77.22	you
77.22	77.50	type
77.50	77.98	turn
77.98	78.30	into
78.30	78.48	the
78.48	78.76	answer
78.76	79.02	you
79.02	79.42	receive.
80.56	81.12	This
81.12	81.56	roadmap
81.56	81.92	shows
81.92	82.20	what
82.20	82.44	we'll
82.44	82.78	explore
82.78	83.02	in
83.02	83.18	this
83.18	83.56	section.
84.16	84.28	To
84.28	84.42	be
84.42	84.70	clear,
85.10	85.30	the
85.30	85.52	numbers
85.52	85.84	on
85.84	86.02	this
86.02	86.26	map
86.26	86.76	represent
86.76	87.06	our
87.06	87.34	order
87.34	87.56	of
87.56	87.86	learning,
88.20	88.54	not
88.54	88.80	a
88.80	89.04	five
89.04	89.30	-step
89.30	89.76	sequence
89.76	90.02	the
