0.00	0.48	Right
0.48	0.80	now,
0.98	1.12	the
1.12	1.46	global
1.46	2.16	conversation
2.16	2.64	around
2.64	3.10	artificial
3.10	3.70	intelligence
3.70	4.08	is
4.08	4.34	a
4.34	4.74	massive,
4.98	5.28	high
5.28	5.66	-speed
5.66	6.16	collision
6.16	6.48	of
6.48	6.88	conflicting
6.88	7.42	opinions
7.42	7.72	and
7.72	8.00	public
8.00	8.38	panic.
9.06	9.18	Here
9.18	9.30	is
9.30	9.46	a
9.46	9.64	graphic
9.64	9.96	of
9.96	10.32	claims
10.32	10.86	dominating
10.86	11.14	the
11.14	11.44	noise.
12.14	12.64	Optimists
12.64	13.04	insist
13.04	13.32	the
13.32	13.78	technology
13.78	14.20	cures
14.20	14.62	diseases
14.62	15.04	and
15.04	15.24	does
15.24	15.52	boring
15.52	16.08	tasks.
17.10	17.10	Warriors
17.10	17.42	are
17.42	17.76	convinced
17.76	18.00	it
18.00	18.22	takes
18.22	18.42	your
18.42	18.68	job
18.68	18.92	and
18.92	19.14	hurts
19.14	19.66	society.
20.44	20.66	Doubters
20.66	20.96	just
20.96	21.20	roll
21.20	21.36	their
21.36	21.62	eyes.
22.16	22.38	Which
22.38	22.60	leaves
22.60	22.82	the
22.82	23.14	ultimate
23.14	23.56	question.
24.10	24.22	Who
24.22	24.36	is
24.36	24.82	actually
24.82	25.06	right?
25.64	25.90	Here
25.90	26.04	is
26.04	26.18	the
26.18	26.48	honest
26.48	26.82	answer.
27.36	27.60	Nobody
27.60	27.96	knows.
27.96	28.70	Not
28.70	28.86	the
28.86	29.18	pundits,
29.68	29.72	not
29.72	30.02	us,
30.38	30.46	and
30.46	30.66	not
30.66	30.88	even
30.88	31.04	the
31.04	31.46	engineers
31.46	31.82	building
31.82	32.04	the
32.04	32.30	models.
33.08	33.30	Because
33.30	33.82	certainty
33.82	34.10	about
34.10	34.38	where
34.38	34.62	this
34.62	35.08	technology
35.08	35.56	lands
35.56	35.98	simply
35.98	36.40	doesn't
36.40	36.78	exist.
37.34	37.48	Getting
37.48	37.80	trapped
37.80	38.02	in
38.02	38.14	these
38.14	38.52	arguments
38.52	38.80	is
38.80	38.94	a
38.94	39.06	waste
39.06	39.26	of
39.26	39.56	time.
40.12	40.26	Our
40.26	40.68	actual
40.68	40.96	job
40.96	41.22	is
41.22	41.40	figuring
41.40	41.72	out
41.72	41.88	how
41.88	42.00	to
42.00	42.40	navigate
42.40	42.64	the
42.64	42.80	blank
42.80	43.18	space.
43.82	43.94	Take
43.94	44.10	a
44.10	44.20	look
44.20	44.38	at
44.38	44.60	this
44.60	44.84	map
44.84	45.08	from
45.08	45.22	the
45.22	46.10	1400s.
46.48	46.58	The
46.58	46.88	physical
46.88	47.20	limits
47.20	47.38	of
47.38	47.48	the
47.48	47.66	world
47.66	47.94	were
47.94	48.32	entirely
48.32	48.90	unknown
48.90	49.14	to
49.14	49.56	explorers,
50.06	50.26	but
50.26	50.78	cartographers
50.78	51.16	hated
51.16	51.46	leaving
51.46	51.64	a
51.64	51.78	map
51.78	52.06	blank.
52.62	52.80	In
52.80	52.90	the
52.90	53.34	uncharted
53.34	53.60	parts
53.60	53.78	of
53.78	53.88	the
53.88	54.14	ocean,
54.36	54.46	they
54.46	54.88	projected
54.88	55.14	their
55.14	55.42	own
55.42	55.86	terrors
55.86	56.26	directly
56.26	56.70	into
56.70	56.86	the
56.86	57.04	void.
57.54	57.90	This
57.90	58.48	illustration
58.48	59.06	shows
59.06	59.34	a
59.34	59.92	terrifying
59.92	60.32	sea
60.32	60.72	monster.
61.50	61.84	Today's
61.84	62.12	AI
62.12	62.54	warriors
62.54	62.94	are
62.94	63.12	doing
63.12	63.36	the
63.36	63.76	exact
63.76	64.12	same
64.12	64.58	thing.
64.96	65.24	Filling
65.24	65.50	the
65.50	65.98	unknown
65.98	66.28	map
66.28	66.56	edges
66.56	66.94	with
66.94	67.44	monsters
67.44	67.78	that
67.78	68.10	destroy
68.10	68.56	jobs
68.56	68.84	and
68.84	69.04	take
69.04	69.26	over
69.26	69.38	the
69.38	69.68	world.
70.50	70.66	AI
70.66	71.26	optimists
71.26	71.54	look
71.54	71.80	about
71.80	72.30	identical
72.30	72.82	uncharted
72.82	73.18	water
73.18	73.56	and
73.56	73.88	predict
73.88	74.22	clear
74.22	74.58	sailing.
75.42	75.62	Those
75.62	76.48	15th
76.48	76.48	century
76.48	76.88	sailors
76.88	77.36	rarely
77.36	77.88	found
77.88	78.16	sea
78.16	78.58	monsters
78.58	79.26	or
79.26	79.70	perfectly
79.70	80.04	clear
80.04	80.42	sailing.
81.06	81.28	Take
81.28	81.68	Ferdinand
81.68	82.00	the
82.00	82.28	Jelen.
82.76	82.94	He
82.94	83.12	didn't
83.12	83.38	set
83.38	83.58	off
83.58	83.76	to
83.76	83.94	sail
83.94	84.16	around
84.16	84.28	the
84.28	84.56	world.
84.56	85.26	His
85.26	85.50	crew
85.50	85.86	achieved
85.86	86.04	that
86.04	86.54	milestone
86.54	86.98	purely
86.98	87.34	by
87.34	87.80	reacting
87.80	88.06	to
88.06	88.56	unexpected
88.56	89.16	obstacles
89.16	89.42	along
89.42	89.56	the
89.56	89.84	way.
90.62	90.66	And
90.66	90.80	the
90.80	91.20	reality
91.20	91.46	of
91.46	91.58	the
91.58	91.90	unknown
91.90	92.14	is
92.14	92.48	harsh.
93.16	93.42	Magellan
93.42	93.70	died
93.70	94.08	before
94.08	94.22	the
94.22	94.44	voyage
94.44	94.70	even
94.70	95.04	ended.
95.72	95.84	We
95.84	96.08	have
96.08	96.58	exactly
96.58	97.06	one
97.06	97.58	factual
97.58	98.14	certainty
98.14	98.54	regarding
98.54	98.80	our
98.80	99.10	own
99.10	99.62	unmapped
99.62	100.02	future.
100.74	100.94	AI
100.94	101.28	is
101.28	101.50	here
101.50	101.62	to
101.62	101.88	stay.
102.40	102.50	It
102.50	102.76	isn't
102.76	102.94	going
102.94	103.26	away.
103.94	104.06	To
104.06	104.40	survive
104.40	104.58	a
104.58	105.06	technological
105.06	105.52	shift
105.52	105.68	of
105.68	105.84	this
105.84	106.16	scale,
106.46	106.58	we
106.58	106.78	have
106.78	106.94	to
106.94	107.14	take
107.14	107.44	both
107.44	107.76	views
107.76	107.92	of
107.92	108.04	the
108.04	108.20	map
108.20	108.72	seriously.
109.44	109.68	We
109.68	110.02	reject
110.02	110.34	both
110.34	110.58	the
110.58	110.88	panic
110.88	111.06	of
111.06	111.18	the
111.18	111.32	sea
111.32	111.64	monsters
111.64	112.18	and
112.18	112.36	the
112.36	112.82	naivety
112.82	112.98	of
112.98	113.12	the
113.12	113.32	open
113.32	113.62	water.
113.62	114.32	And
114.32	114.46	we
114.46	114.80	prepare
114.80	115.06	to
115.06	115.38	react
115.38	115.60	to
115.60	115.70	the
115.70	116.16	unexpected.
116.84	117.18	Instead
117.18	117.36	of
117.36	117.98	historical
117.98	118.60	philosophy,
119.14	119.28	we
119.28	119.44	need
119.44	119.66	a
119.66	120.12	concrete
120.12	120.56	plan
120.56	120.84	for
120.84	120.98	your
120.98	121.50	education.
122.18	122.42	First,
122.76	122.82	we
122.82	123.14	tackle
123.14	123.46	the
123.46	123.92	argument,
124.56	124.70	breaking
124.70	125.04	down
125.04	125.42	why
125.42	125.82	voices
125.82	126.36	disagree
126.36	126.78	and
126.78	127.04	how
127.04	127.42	speed
127.42	128.04	amplifies
128.04	128.38	noise.
129.10	129.44	Next,
130.00	130.32	monsters
130.32	130.64	and
130.64	130.94	open
130.94	131.26	water
131.26	131.82	looks
131.82	132.04	at
132.04	132.44	valid
132.44	132.86	worry
132.86	133.48	alongside
133.48	133.90	real
133.90	134.16	-world
134.16	134.56	upside.
135.34	135.68	Finally,
136.30	136.38	Where
136.38	136.54	It
136.54	136.74	Lands
136.74	136.98	on
136.98	137.32	You
