0.00	0.46	 You
0.46	0.72	 type
0.72	0.90	 a
0.90	1.24	 question,
1.64	1.88	 hit
1.88	2.12	 send,
2.30	2.42	 and
2.42	2.54	 an
2.54	2.86	 answer
2.86	3.20	 starts
3.20	3.56	 appearing.
4.36	4.60	 Behind
4.60	4.82	 that
4.82	5.02	 chat
5.02	5.30	 box,
5.52	5.78	 computers
5.78	6.10	 are
6.10	6.30	 doing
6.30	6.56	 an
6.56	7.10	 enormous
7.10	7.48	 amount
7.48	7.64	 of
7.64	7.82	 math
7.82	8.08	 to
8.08	8.28	 figure
8.28	8.50	 out
8.50	8.62	 the
8.62	8.76	 right
8.76	9.18	 words.
10.16	10.50	 Let's
10.50	10.80	 assume
10.80	11.06	 a
11.06	11.28	 large
11.28	11.58	 language
11.58	11.88	 model
11.88	12.20	 uses
12.20	12.58	 one
12.58	13.08	 trillion
13.08	13.42	 weights
13.42	13.74	 to
13.74	14.06	 generate
14.06	14.44	 each
14.44	14.68	 new
14.68	15.02	 token.
15.60	15.80	 At
15.80	16.08	 roughly
16.08	16.34	 two
16.34	16.86	 calculations
16.86	17.12	 per
17.12	17.42	 weight,
17.96	18.26	 writing
18.26	18.70	 1
18.70	18.96	,000
18.96	19.38	 tokens,
19.58	19.80	 or
19.80	20.22	 around
20.22	20.72	 750
20.72	21.34	 words,
21.76	22.06	 takes
22.06	22.34	 about
22.34	22.72	 two
22.72	23.52	 quadrillion
23.52	24.36	 calculations.
24.88	25.26	 That's
25.26	25.32	 a
25.32	25.54	 two,
25.70	26.04	 followed
26.04	26.34	 by
26.34	26.82	 15
26.82	27.28	 zeros.
27.28	28.26	 The
28.26	28.60	 ability
28.60	28.82	 to
28.82	28.96	 run
28.96	29.18	 that
29.18	29.46	 math
29.46	29.66	 is
29.66	29.96	 called
29.96	30.46	 compute.
31.52	31.78	 Serving
31.78	32.04	 those
32.04	32.36	 two
32.36	32.80	 quadrillion
32.80	33.42	 calculations
33.42	33.74	 to
33.74	34.20	 millions
34.20	34.42	 of
34.42	34.68	 people
34.68	35.46	 simultaneously
35.46	36.14	 is
36.14	36.52	 why
36.52	36.88	 AI
36.88	37.32	 companies
37.32	37.80	 must
37.80	38.06	 build
38.06	38.32	 more
38.32	38.50	 data
38.50	38.80	 centers.
39.80	39.94	 Think
39.94	40.06	 of
40.06	40.20	 a
40.20	40.34	 data
40.34	40.60	 center
40.60	40.84	 as
40.84	41.08	 a
41.08	41.26	 big
41.26	41.68	 warehouse
41.68	42.06	 packed
42.06	42.34	 with
42.34	42.82	 thousands
42.82	43.10	 of
43.10	43.50	 specialized
43.50	43.94	 chips,
44.18	44.40	 called
44.40	44.82	 GPUs,
45.34	45.60	 running
45.60	46.00	 around
46.00	46.18	 the
46.18	46.40	 clock.
47.20	47.60	 Inside
47.60	47.84	 an
47.84	48.10	 AI
48.10	48.32	 data
48.32	48.64	 center,
49.10	49.34	 rows
49.34	49.58	 of
49.58	49.78	 server
49.78	50.08	 racks
50.08	50.52	 stretch
50.52	50.76	 to
50.76	50.94	 the
50.94	51.14	 far
51.14	51.42	 wall.
52.02	52.20	 One
52.20	52.52	 person
52.52	52.80	 walks
52.80	52.96	 the
52.96	53.12	 main
53.12	53.32	 aisle,
53.80	54.04	 the
54.04	54.26	 only
54.26	54.50	 human
54.50	54.68	 in
54.68	54.86	 sight.
54.86	55.98	 Some
55.98	56.32	 large
56.32	56.62	 AI
56.62	56.82	 data
56.82	57.10	 centers
57.10	57.40	 cover
57.40	57.58	 the
57.58	57.82	 ground
57.82	58.16	 of
58.16	58.46	 several
58.46	58.72	 football
58.72	59.12	 fields
59.12	59.56	 and
59.56	59.74	 can
59.74	59.92	 use
59.92	60.08	 as
60.08	60.40	 much
60.40	60.90	 electricity
60.90	61.20	 as
61.20	61.34	 a
61.34	61.60	 small
61.60	61.90	 city.
62.54	62.66	 The
62.66	62.88	 scale
62.88	63.18	 varies
63.18	63.36	 by
63.36	63.78	 facility.
64.74	64.92	 When
64.92	65.08	 you
65.08	65.30	 hit
65.30	65.60	 send
65.60	65.92	 in
65.92	66.48	 ChatGPT,
67.06	67.20	 a
67.20	67.38	 data
67.38	67.62	 center
67.62	68.06	 answers.
68.84	69.14	 Somebody
69.14	69.40	 pays
69.40	69.60	 for
69.60	69.74	 all
69.74	69.88	 that
69.88	70.26	 arithmetic.
71.02	71.18	 The
71.18	71.66	 operation
71.66	71.84	 of
71.84	71.96	 these
71.96	72.34	 computers
72.34	72.66	 has
72.66	72.92	 a
72.92	73.30	 direct
