0.00	0.62	 You
0.62	0.92	 type
0.92	1.06	 a
1.06	1.44	 question,
1.92	2.18	 hit
2.18	2.48	 send,
2.86	3.08	 and
3.08	3.30	 an
3.30	3.66	 answer
3.66	4.06	 starts
4.06	4.48	 appearing.
5.36	5.64	 Behind
5.64	5.90	 that
5.90	6.22	 chat,
6.42	6.78	 computers
6.78	7.10	 are
7.10	7.32	 doing
7.32	7.60	 an
7.60	8.12	 enormous
8.12	8.48	 amount
8.48	8.64	 of
8.64	8.88	 math.
9.68	9.94	 Let's
9.94	10.24	 assume
10.24	10.48	 a
10.48	10.72	 large
10.72	11.02	 language
11.02	11.34	 model
11.34	11.68	 uses
11.68	12.04	 one
12.04	12.64	 trillion
12.64	13.00	 weights
13.00	13.26	 to
13.26	13.60	 generate
13.60	13.86	 each
13.86	14.08	 new
14.08	14.24	 piece
14.24	14.40	 of
14.40	14.74	 text.
15.44	15.62	 At
15.62	15.94	 roughly
15.94	16.32	 two
16.32	16.94	 calculations
16.94	17.20	 per
17.20	17.48	 weight,
17.96	18.20	 writing
18.20	18.92	 1000
18.92	19.52	 tokens
19.52	19.90	 or
19.90	20.30	 around
20.30	20.94	 750
20.94	21.44	 words
21.44	22.12	 takes
22.12	22.42	 about
22.42	22.82	 two
22.82	23.70	 quadrillion
23.70	24.48	 calculations.
24.50	25.14	 That
25.14	25.30	 is
25.30	25.46	 a
25.46	25.72	 two
25.72	26.16	 followed
26.16	26.44	 by
26.44	26.98	 15
26.98	27.40	 zeros.
28.18	28.38	 The
28.38	28.70	 ability
28.70	28.96	 to
28.96	29.16	 run
29.16	29.36	 that
29.36	29.72	 math
29.72	29.96	 is
29.96	30.28	 called
30.28	30.68	 compute.
31.66	31.82	 Now
31.82	32.38	 imagine
32.38	32.80	 serving
32.80	33.36	 millions
33.36	33.60	 of
33.60	33.88	 people
33.88	34.68	 simultaneously.
35.38	35.68	 That
35.68	36.04	 volume
36.04	36.28	 of
36.28	36.50	 math
36.50	36.82	 is
36.82	37.48	 exactly
37.48	37.88	 why
37.88	38.26	 AI
38.26	38.66	 companies
38.66	39.00	 need
39.00	39.26	 data
39.26	39.62	 centers
39.62	40.08	 and
40.08	40.38	 why
40.38	40.56	 they
40.56	40.68	 are
40.68	40.90	 building
40.90	41.12	 more
41.12	41.28	 of
41.28	41.52	 them.
42.28	42.42	 You
42.42	42.60	 can
42.60	42.74	 think
42.74	42.84	 of
42.84	43.02	 a
43.02	43.18	 data
43.18	43.46	 center
43.46	43.84	 as
43.84	44.08	 a
44.08	44.36	 big
44.36	44.88	 warehouse
44.88	45.38	 packed
45.38	45.64	 with
45.64	46.08	 thousands
46.08	46.40	 of
46.40	46.74	 specialized
46.74	47.16	 chips
47.16	47.68	 called
47.68	48.18	 GPUs
48.18	48.84	 running
48.84	49.24	 around
49.24	49.40	 the
49.40	49.64	 clock.
50.36	50.60	 Here
50.60	50.82	 is
50.82	50.98	 the
50.98	51.34	 inside
51.34	51.52	 of
51.52	51.68	 an
51.68	51.88	 AI
51.88	52.12	 data
52.12	52.48	 center.
53.24	53.32	 Rows
53.32	53.56	 of
53.56	53.78	 server
53.78	54.10	 racks
54.10	54.46	 stretch
54.46	54.86	 all
54.86	55.02	 the
55.02	55.14	 way
55.14	55.28	 to
55.28	55.40	 the
55.40	55.58	 far
55.58	55.98	 wall,
56.20	56.54	 glowing
56.54	56.78	 with
56.78	57.10	 blue
57.10	57.50	 status
57.50	57.86	 lights.
58.25	58.54	 You
58.54	58.70	 can
58.70	58.88	 see
58.88	59.20	 one
59.20	59.56	 person
59.56	59.92	 walking
59.92	60.12	 the
60.12	60.34	 main
60.34	60.66	 aisle
60.66	61.54	 completely
61.54	62.02	 dwarfed
62.02	62.22	 by
62.22	62.36	 the
62.36	62.62	 racks.
63.52	63.68	 Some
