clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0003.94-breath_or_room_sound.wav,3.94,4.74,0.8000000000000003,"OpenAI,","Anthropic,",-17.45947403774603,0.20545247197151184,0.5700000000000001,BREATH_OR_ROOM_SOUND,
02-0257.44-breath_or_room_sound.wav,257.44,257.88,0.4399999999999977,intelligence,that,-17.08860769234812,0.4882131516933441,0.4,BREATH_OR_ROOM_SOUND,
03-0017.58-breath_or_room_sound.wav,17.58,18.64,1.0600000000000023,nudge.,"First,",-17.11389918798394,0.39677494764328003,0.35000000000000003,BREATH_OR_ROOM_SOUND,
04-0052.28-breath_or_room_sound.wav,52.28,52.62,0.3399999999999963,"run,",an,-15.878018670120097,0.20740467309951782,0.23,BREATH_OR_ROOM_SOUND,
05-0286.00-breath_or_room_sound.wav,286.0,286.46,0.45999999999997954,"patterns,",not,-17.60343194313416,0.907814621925354,0.31,BREATH_OR_ROOM_SOUND,
06-0056.48-breath_or_room_sound.wav,56.48,56.94,0.46000000000000085,coach.,Before,-20.651110005582105,0.5754000544548035,0.46,BREATH_OR_ROOM_SOUND,
07-0157.46-breath_or_room_sound.wav,157.46,158.1,0.6399999999999864,ideals.,As,-21.037403526017645,0.5568854808807373,0.46,BREATH_OR_ROOM_SOUND,
08-0138.10-breath_or_room_sound.wav,138.1,138.78,0.6800000000000068,conversation.,In,-21.954229627002604,0.3930111825466156,0.59,BREATH_OR_ROOM_SOUND,
09-0197.90-breath_or_room_sound.wav,197.9,198.84,0.9399999999999977,changes.,Instead,-21.0720651521609,0.40768495202064514,0.43,BREATH_OR_ROOM_SOUND,
10-0289.22-breath_or_room_sound.wav,289.22,289.86,0.6399999999999864,"convincing,",not,-18.56660745296607,0.7703180909156799,0.28,BREATH_OR_ROOM_SOUND,
11-0273.02-breath_or_room_sound.wav,273.02,273.8,0.7800000000000296,information.,This,-20.126222735299606,0.46746325492858887,0.35000000000000003,BREATH_OR_ROOM_SOUND,
12-0113.20-breath_or_room_sound.wav,113.2,113.84,0.6400000000000006,weights.,If,-23.134902336789217,0.7927859425544739,0.51,BREATH_OR_ROOM_SOUND,
