clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0128.02-breath_or_room_sound.wav,128.02,128.62,0.5999999999999943,"constraints,",and,-15.163252809644014,1.0394715070724487,0.49,BREATH_OR_ROOM_SOUND,
02-0135.68-breath_or_room_sound.wav,135.68,136.22,0.539999999999992,"options,",or,-16.06132420365964,1.0150916576385498,0.45,BREATH_OR_ROOM_SOUND,
03-0127.38-breath_or_room_sound.wav,127.38,127.88,0.5,"facts,","constraints,",-14.924159206224923,1.0406569242477417,0.31,BREATH_OR_ROOM_SOUND,
04-0097.46-breath_or_room_sound.wav,97.46,98.12,0.6600000000000108,information.,You,-18.731256050109476,0.4037800133228302,0.63,BREATH_OR_ROOM_SOUND,
05-0149.42-breath_or_room_sound.wav,149.42,150.24,0.8200000000000216,"arguments,",internal,-17.286518360002063,0.932163417339325,0.41000000000000003,BREATH_OR_ROOM_SOUND,
06-0148.22-breath_or_room_sound.wav,148.22,148.92,0.6999999999999886,"essays,","arguments,",-18.588108855530002,1.1258052587509155,0.46,BREATH_OR_ROOM_SOUND,
07-0008.56-breath_or_room_sound.wav,8.56,9.06,0.5,"Writing,","planning,",-13.202202778955602,0.13805365562438965,0.5,BREATH_OR_ROOM_SOUND,
08-0117.58-breath_or_room_sound.wav,117.58,118.0,0.4200000000000017,"points,",finding,-17.18074996701342,1.1278551816940308,0.36,BREATH_OR_ROOM_SOUND,
09-0084.78-breath_or_room_sound.wav,84.78,85.32,0.539999999999992,"languages,",or,-17.988605519309772,1.1701724529266357,0.37,BREATH_OR_ROOM_SOUND,
10-0099.86-breath_or_room_sound.wav,99.86,100.3,0.4399999999999977,"angles,",asking,-18.849637471388107,1.0176764726638794,0.41000000000000003,BREATH_OR_ROOM_SOUND,
11-0152.52-breath_or_room_sound.wav,152.52,153.62,1.0999999999999943,conversations.,Because,-20.699140658862763,0.9787654876708984,0.75,BREATH_OR_ROOM_SOUND,
12-0172.12-breath_or_room_sound.wav,172.12,172.62,0.5,"current,",or,-16.16418910145778,0.46539580821990967,0.23,BREATH_OR_ROOM_SOUND,
13-0119.28-breath_or_room_sound.wav,119.28,119.8,0.519999999999996,"sections,",or,-17.63286581523693,1.037255048751831,0.3,BREATH_OR_ROOM_SOUND,
14-0010.96-breath_or_room_sound.wav,10.96,11.5,0.5399999999999991,"researching,",it,-17.91680383427414,0.23945008218288422,0.27,BREATH_OR_ROOM_SOUND,
15-0055.90-breath_or_room_sound.wav,55.9,56.1,0.20000000000000284,"strict,",predictable,-14.412011716720317,0.2886638343334198,0.09,BREATH_OR_ROOM_SOUND,
16-0077.92-breath_or_room_sound.wav,77.92,78.6,0.6799999999999926,transformation.,Because,-22.71283745042584,0.5723912715911865,0.62,BREATH_OR_ROOM_SOUND,
17-0033.84-breath_or_room_sound.wav,33.84,34.6,0.759999999999998,themselves.,It,-19.86185357820338,0.7710603475570679,0.28,BREATH_OR_ROOM_SOUND,
18-0061.06-breath_or_room_sound.wav,61.06,61.48,0.4199999999999946,"patterns,",so,-22.074682965735903,0.9513297080993652,0.34,BREATH_OR_ROOM_SOUND,
19-0009.44-breath_or_room_sound.wav,9.44,9.9,0.46000000000000085,"planning,","coding,",-15.252827186495416,0.10872264206409454,0.44,BREATH_OR_ROOM_SOUND,
20-0108.80-breath_or_room_sound.wav,108.8,109.78,0.980000000000004,compression.,AI,-23.984764956834752,0.4215521216392517,0.4,BREATH_OR_ROOM_SOUND,
21-0010.14-breath_or_room_sound.wav,10.14,10.56,0.41999999999999993,"coding,","researching,",-13.863308044822507,0.09349072724580765,0.42,BREATH_OR_ROOM_SOUND,
22-0002.68-breath_or_room_sound.wav,2.68,3.42,0.7399999999999998,"box,",you,-21.476469217586676,0.6220971345901489,0.25,BREATH_OR_ROOM_SOUND,
23-0029.94-breath_or_room_sound.wav,29.94,30.9,0.9599999999999973,performance.,Then,-22.532607331046034,0.8421363830566406,0.3,BREATH_OR_ROOM_SOUND,
24-0150.78-breath_or_room_sound.wav,150.78,151.38,0.5999999999999943,"documents,",and,-22.01633463285869,1.1067664623260498,0.27,BREATH_OR_ROOM_SOUND,
25-0094.00-breath_or_room_sound.wav,94.0,94.92,0.9200000000000017,variation.,"Here,",-23.50997620865695,0.6955385208129883,0.31,BREATH_OR_ROOM_SOUND,
26-0116.02-breath_or_room_sound.wav,116.02,116.5,0.480000000000004,"chapter,",extracting,-21.100276860424,0.2190888524055481,0.18,BREATH_OR_ROOM_SOUND,
27-0113.60-breath_or_room_sound.wav,113.6,114.24,0.6400000000000006,"noise,",making,-21.105145289879452,0.8504028916358948,0.18,BREATH_OR_ROOM_SOUND,
28-0080.06-breath_or_room_sound.wav,80.06,80.7,0.6400000000000006,"patterns,",you,-22.58569632452126,0.567345917224884,0.25,BREATH_OR_ROOM_SOUND,
29-0171.44-breath_or_room_sound.wav,171.44,171.96,0.5200000000000102,"accurate,","current,",-21.531183606477803,0.40729624032974243,0.13,BREATH_OR_ROOM_SOUND,
30-0073.90-breath_or_room_sound.wav,73.9,74.68,0.7800000000000011,shapes.,This,-22.01478897618089,0.9924143552780151,0.14,BREATH_OR_ROOM_SOUND,
31-0004.30-breath_or_room_sound.wav,4.3,4.78,0.4800000000000004,"prompt,",any,-24.22368642722479,0.4670065641403198,0.2,BREATH_OR_ROOM_SOUND,
32-0086.70-breath_or_room_sound.wav,86.7,87.46,0.7599999999999909,prose.,It,-23.934813324212318,0.8964390158653259,0.17,BREATH_OR_ROOM_SOUND,
33-0083.18-breath_or_room_sound.wav,83.18,83.62,0.4399999999999977,"data,",translating,-23.38967342800043,0.19627052545547485,0.12,BREATH_OR_ROOM_SOUND,
34-0081.72-blip_candidate.wav,81.72,82.02,0.29999999999999716,"help,",reformatting,-22.962831086868917,0.20328892767429352,0.08,BLIP_CANDIDATE,
35-0184.74-breath_or_room_sound.wav,184.74,185.56,0.8199999999999932,required.,This,-20.740139656944333,0.12064152956008911,0.34,BREATH_OR_ROOM_SOUND,
36-0005.18-breath_or_room_sound.wav,5.18,5.68,0.5,"prompt,",and,-25.761185739100707,0.5377494692802429,0.19,BREATH_OR_ROOM_SOUND,
37-0125.32-breath_or_room_sound.wav,125.32,126.18,0.8600000000000136,reasoning.,If,-26.437280342738948,0.6425536870956421,0.21,BREATH_OR_ROOM_SOUND,
38-0036.80-breath_or_room_sound.wav,36.8,37.44,0.6400000000000006,-minus.,The,-25.21835260086776,0.6168924570083618,0.14,BREATH_OR_ROOM_SOUND,
39-0175.10-breath_or_room_sound.wav,175.1,176.22,1.1200000000000045,situation.,It,-25.805167933309924,0.7331539392471313,0.16,BREATH_OR_ROOM_SOUND,
40-0076.46-breath_or_room_sound.wav,76.46,77.22,0.7600000000000051,"capability,",patterned,-24.54530067939677,0.14242127537727356,0.32,BREATH_OR_ROOM_SOUND,
